INFO [nanovllm.engine.model_runner] [ModelRunner] Rank 0 initialized
INFO [nanovllm.engine.model_runner] [ModelRunner] GPU device set to rank 0
INFO [nanovllm.engine.model_runner] [ModelRunner] Model loaded on rank 0 in 0.12s
INFO [nanovllm.engine.model_runner] [ModelRunner] Allocating KV cache on rank 0...
INFO [nanovllm.engine.model_runner] [ModelRunner] GPU memory: 9.73GB free / 11.61GB total
INFO [nanovllm.engine.model_runner] [ModelRunner] Model weights: 1.42GB
INFO [nanovllm.engine.model_runner] [ModelRunner] KV cache memory: 9.03GB available, block_size=7340032 bytes
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.52ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.01ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.41ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.55ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.60ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.52ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.48ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.58ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.50ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.01ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.60ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.55ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.51ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.46ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.98ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.58ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.02ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.52ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.66ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.67ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.62ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.50ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.68ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.71ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.67ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.50ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.62ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.55ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.61ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.57ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.68ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.01ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.61ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.57ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.01ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.47ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.01ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.60ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.51ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.68ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.54ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.49ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.54ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.70ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.02ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.65ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.58ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.43ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.64ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.65ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.64ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.47ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.53ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.02ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.52ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.72ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.78ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.97ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.97ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.97ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.77ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.73ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.53ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.69ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.65ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.73ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.60ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.01ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.77ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.56ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.69ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.58ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.03ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.69ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.51ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.63ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.67ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.62ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.50ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.61ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.97ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.42ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.02ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.67ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.53ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.67ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 0.99ms/token
INFO [nanovllm.engine.model_runner] [Timing] Decode: 1 tokens, 17.62ms/token
INFO [nanovllm.engine.model_runner] [Timing] Sampling: 1 tokens, 1.00ms/token
INFO [nanovllm.engine.scheduler] [Scheduler] Seq 0 finished
